-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.024,  0.181
-183.800, 80.197, 0.028,  0.214
-183.799, 80.193, 0.124,  0.247
-183.797, 80.185, 0.281,  0.280
-183.795, 80.172, 0.387,  0.313
-183.793, 80.156, 0.497,  0.346
-183.789, 80.131, 0.782,  0.379
-183.785, 80.097, 1.015,  0.412
-183.780, 80.057, 1.203,  0.445
-183.776, 80.012, 1.346,  0.478
-183.771, 79.965, 1.443,  0.511
-183.766, 79.916, 1.474,  0.544
-183.762, 79.867, 1.475,  0.577
-183.757, 79.819, 1.465,  0.610
-183.752, 79.772, 1.448,  0.643
-183.748, 79.726, 1.426,  0.676
-183.743, 79.680, 1.401,  0.709
-183.738, 79.635, 1.377,  0.742
-183.733, 79.591, 1.354,  0.775
-183.729, 79.548, 1.334,  0.808
-183.724, 79.505, 1.317,  0.841
-183.719, 79.462, 1.304,  0.874
-183.714, 79.420, 1.296,  0.907
-183.709, 79.377, 1.292,  0.940
-183.705, 79.335, 1.292,  0.973
-183.700, 79.293, 1.295,  1.006
-183.694, 79.250, 1.302,  1.039
-183.689, 79.207, 1.310,  1.072
-183.684, 79.163, 1.320,  1.105
-183.679, 79.120, 1.331,  1.138
-183.674, 79.076, 1.342,  1.171
-183.668, 79.031, 1.353,  1.204
-183.663, 78.986, 1.363,  1.237
-183.657, 78.941, 1.372,  1.270
-183.652, 78.896, 1.381,  1.303
-183.646, 78.850, 1.388,  1.336
-183.640, 78.804, 1.394,  1.369
-183.635, 78.758, 1.399,  1.402
-183.629, 78.712, 1.404,  1.435
-183.623, 78.666, 1.407,  1.468
-183.617, 78.619, 1.411,  1.501
-183.611, 78.573, 1.414,  1.534
-183.605, 78.526, 1.416,  1.567
-183.599, 78.480, 1.419,  1.600
-183.593, 78.433, 1.422,  1.633
-183.587, 78.386, 1.425,  1.666
-183.581, 78.339, 1.428,  1.699
-183.575, 78.292, 1.431,  1.732
